f0,f1,f2,f3,f4,f5,f6,f7,outcome
-1.0,5.0,-2.0,-4.0,0.0,-4.0,-2.0,-2.0,-0.21875
-1.0,5.0,-2.0,-4.0,3.0,-2.0,2.0,2.0,-0.21875
-1.0,5.0,-3.0,-4.0,3.0,-4.0,2.0,0.0,-0.21875
-1.0,5.0,-3.0,-4.0,6.0,-2.0,4.0,0.0,-0.21875
-1.0,4.0,-3.0,-6.0,6.0,-4.0,0.0,0.0,-0.21875
-1.0,7.0,-3.0,-2.0,6.0,-4.0,0.0,0.0,-0.21875
-1.0,6.0,-3.0,-2.0,4.0,-4.0,0.0,0.0,-0.21875
-1.0,7.0,-3.0,0.0,4.0,0.0,4.0,0.0,-0.21875
-2.0,1.0,-3.0,0.0,4.0,0.0,4.0,0.0,-0.21875
-2.0,1.0,-2.0,2.0,4.0,0.0,4.0,0.0,-0.21875
-2.0,-6.0,-2.0,2.0,2.0,0.0,4.0,0.0,-0.21875
-1.0,-6.0,0.0,2.0,2.0,2.0,4.0,4.0,-0.21875
-2.0,-6.0,-2.0,2.0,2.0,0.0,4.0,0.0,-0.21875
-2.0,-5.0,0.0,2.0,2.0,0.0,4.0,0.0,-0.21875
-2.0,-16.0,0.0,0.0,2.0,0.0,2.0,0.0,-0.21875
-2.0,-15.0,0.0,2.0,2.0,0.0,2.0,0.0,-0.21875
-2.0,-16.0,0.0,0.0,0.0,-2.0,2.0,0.0,-0.21875
-2.0,-16.0,0.0,0.0,3.0,-2.0,2.0,0.0,-0.21875
-2.0,-16.0,0.0,0.0,2.0,-2.0,-2.0,0.0,-0.21875
-2.0,-15.0,0.0,2.0,4.0,0.0,2.0,0.0,-0.21875
-2.0,-18.0,0.0,0.0,4.0,0.0,2.0,0.0,-0.21875
-2.0,-12.0,0.0,2.0,3.0,0.0,-3.0,-2.0,-0.53125
-2.0,-12.0,1.0,4.0,3.0,0.0,-3.0,-2.0,-0.53125
-2.0,-12.0,-1.0,2.0,0.0,-2.0,-3.0,-2.0,-0.53125
-2.0,-11.0,-1.0,4.0,4.0,0.0,-1.0,-2.0,-0.53125
-3.0,-11.0,-3.0,4.0,4.0,-2.0,-1.0,-2.0,-0.53125
